	gesprek/noun	zogezegd/adj	bezinning/noun	verkiezingsnederlaag/noun	water/noun	demonstratie/noun	pedagoog/noun	bijzonder/adj	cyclus/noun	omgeving/noun	rust_periode/noun	bad/noun	die/det	verlaging/noun	voorteken/noun	onderhandeling/noun	behandeling/noun	tik/noun	hoe/adj	kritiek/noun	thee/noun	invloed/noun	samenstelling/noun	verschuiving/noun	eigenschap/noun	buitengewoon/adj	zo/adv	dynamiek/noun	evolutie/noun	interesse/noun	het/det	gevolg/noun	rust/noun	advies/noun	commissie/noun	effect/noun	min/adj	heel/adj	Haring/name	weg/noun	bestanddeel/noun	ontnuchtering/noun	concurrentie/noun	vuur/noun	nederlaag/noun	schok/noun	sanering/noun	periode/noun	verplichting/noun	begrotingstekort/noun	uitwerking/noun	oppositie/noun	erg/adj	reflecteer/verb	boodschap/noun	het/noun	functie/noun	dat/comp	klimaat/noun	kracht/noun	medisch/adj	samenwerking/noun	alternatief/noun	toepassing/noun	wending/noun	muziek/noun	dat/det	les/noun	ander/adj	werk/noun	suggestie/noun	compensatie/noun	werking/noun	zeer/adv	cluster/noun	christendom/noun	of/vg	werkelijkheid/noun
dynamiek/noun	0.8986659	0.8320685	0.78204626	0.86581415	0.8760156	0.8460263	0.872379	0.7256814	0.76531696	0.77890784	0.9201199	0.8655122	0.6906228	0.8148918	0.84241354	0.862662	0.8524579	0.8419767	0.7977133	0.8215529	0.9052738	0.68465364	0.7867534	0.6778649	0.67300785	0.72874284	0.7811632	0.0	0.644024	0.75223136	0.7678784	0.79202175	0.8387632	0.8769991	0.8637058	0.67162323	0.7832723	0.7901245	0.88173455	0.87761784	0.8177337	0.88092047	0.75137293	0.9159281	0.9013332	0.7531534	0.83060944	0.8529451	0.82306707	0.8074094	0.6785549	0.8384824	0.8172858	0.7719697	0.7829281	0.90444165	0.80144256	0.84778744	0.6609762	0.6041606	0.85197186	0.7463419	0.8394253	0.7557983	0.73959506	0.6722747	0.7720414	0.85569984	0.8099462	0.8081824	0.76433843	0.82058233	0.7137487	0.736532	0.8012489	0.7765278	0.8208356	0.7277794
evolutie/noun	0.84826666	0.83602643	0.81331885	0.8601671	0.89334035	0.84173596	0.8443699	0.73855263	0.7196036	0.79589444	0.9136683	0.88711363	0.71362096	0.7885219	0.82475066	0.8226946	0.80302286	0.891837	0.7118992	0.8432565	0.9166567	0.64651436	0.7655105	0.5855537	0.64602625	0.7354976	0.78250176	0.644024	0.0	0.733945	0.8010824	0.7124439	0.92108226	0.83137214	0.8632279	0.64500123	0.75764304	0.80254817	0.88861483	0.8941045	0.82463884	0.86983985	0.79840076	0.9166243	0.883773	0.78096765	0.7512294	0.77888656	0.84696364	0.7974796	0.6926571	0.8681052	0.78774524	0.760703	0.8087104	0.83857787	0.80963004	0.7984706	0.64651656	0.7662652	0.77479494	0.76636636	0.82762885	0.69431436	0.7176671	0.7952657	0.7617694	0.84343123	0.7983086	0.78394246	0.8173934	0.86754906	0.6849394	0.69563913	0.8167152	0.74691343	0.806411	0.73298675
interesse/noun	0.82979107	0.86425054	0.857921	0.9367371	0.9337661	0.8590344	0.8876724	0.81602514	0.82992053	0.8603195	0.928568	0.90600973	0.8175254	0.87393516	0.89381146	0.84820914	0.8913442	0.9200294	0.8439373	0.81145734	0.9062232	0.68428695	0.888002	0.79756165	0.7698792	0.83691	0.8682673	0.75223136	0.733945	0.0	0.8345293	0.84159756	0.9500203	0.8836675	0.8821373	0.7991523	0.8581222	0.8851464	0.9050261	0.9341272	0.8856834	0.9112532	0.75716513	0.92465824	0.9360455	0.88270897	0.8735092	0.90419346	0.8188202	0.87969434	0.81022036	0.9041913	0.8824222	0.8411225	0.8627585	0.92870975	0.85497856	0.8280087	0.8050517	0.80308586	0.83714724	0.75863504	0.8615957	0.77639437	0.86068225	0.78150094	0.85849595	0.81496936	0.80478275	0.86714953	0.79634905	0.84164554	0.8306383	0.8130164	0.858472	0.82419825	0.80034184	0.85425305
het/det	0.8803785	0.79492694	0.8391446	0.9012115	0.80145556	0.8353565	0.8889384	0.8267708	0.7916991	0.76514184	0.9150893	0.81028396	0.8673604	0.8654575	0.8549247	0.8252082	0.8478745	0.87795174	0.839973	0.83014816	0.8735272	0.8099705	0.7975012	0.8137235	0.8111093	0.8162423	0.83733696	0.7678784	0.8010824	0.8345293	0.0	0.8522996	0.88813806	0.85571605	0.81853896	0.84397644	0.8485955	0.7413533	0.8913168	0.7944552	0.8243711	0.8894261	0.84595525	0.86456215	0.90266854	0.82138443	0.8023045	0.84584713	0.8268018	0.8637633	0.77072096	0.8225243	0.86565447	0.8159609	0.8495804	0.86580074	0.8158204	0.8290367	0.8145088	0.83102775	0.8055902	0.81398153	0.8671359	0.8267006	0.82723856	0.8248905	0.6877321	0.8721888	0.804039	0.8457718	0.8338945	0.819257	0.80494636	0.8487771	0.8322607	0.81826997	0.76529527	0.8161068
gevolg/noun	0.9103828	0.84729755	0.87747824	0.8393052	0.9088986	0.851047	0.90864396	0.83143926	0.8415985	0.8487343	0.92932296	0.93138576	0.7717774	0.7561666	0.8426813	0.8144798	0.746263	0.8574824	0.80856544	0.8310075	0.94114375	0.62657225	0.8713589	0.71442235	0.83243877	0.78606963	0.85217726	0.79202175	0.7124439	0.84159756	0.8522996	0.0	0.9371636	0.8493583	0.832597	0.47161424	0.766095	0.8994088	0.94721884	0.90657324	0.86528504	0.8992266	0.7683799	0.9263659	0.8418785	0.7169552	0.7338485	0.8115882	0.8024993	0.7514138	0.6991749	0.87668073	0.81311005	0.84607035	0.90094584	0.8703009	0.8899425	0.83956426	0.7276563	0.8414669	0.7481663	0.8206736	0.8450545	0.8043314	0.79218674	0.9548844	0.8383927	0.90029	0.88538814	0.90495896	0.8520295	0.7217842	0.8147978	0.7673279	0.8993128	0.89198613	0.7843411	0.86758035
rust/noun	0.93241024	0.87497854	0.8425653	0.93237656	0.8947362	0.91100484	0.935232	0.88017875	0.88987136	0.89123046	0.7950447	0.8749146	0.80586004	0.9014791	0.9002505	0.9081182	0.8935888	0.83074355	0.9044215	0.9257732	0.86800295	0.9436955	0.89913076	0.88564265	0.89046395	0.89803076	0.8597332	0.8387632	0.92108226	0.9500203	0.88813806	0.9371636	0.0	0.95052963	0.938993	0.9120542	0.88506347	0.8881179	0.9633675	0.89751416	0.9384445	0.9059541	0.8608974	0.93919784	0.8003147	0.8799497	0.90146226	0.8260511	0.9304619	0.87731534	0.89994264	0.9125112	0.8755196	0.93677855	0.92991537	0.9417718	0.9327593	0.9212826	0.86870384	0.8490524	0.92983603	0.90980244	0.9231502	0.9234459	0.88984036	0.9249221	0.86128247	0.91806155	0.93038934	0.91636777	0.9087159	0.88254416	0.93386316	0.87877804	0.9263873	0.9183922	0.9132087	0.9136387
advies/noun	0.80600977	0.85667694	0.85590726	0.90572333	0.95626855	0.8772931	0.85380423	0.85099494	0.8971567	0.90321976	0.9096059	0.9284157	0.8180548	0.83062714	0.89062613	0.8230785	0.7159438	0.9187434	0.88476974	0.7771775	0.9334141	0.8510579	0.7964373	0.8654939	0.84210664	0.82931274	0.8729615	0.8769991	0.83137214	0.8836675	0.85571605	0.8493583	0.95052963	0.0	0.5669948	0.81726706	0.8652396	0.91296595	0.94206893	0.93862444	0.920449	0.93581295	0.9089749	0.9624879	0.9499608	0.9098853	0.8193395	0.94766176	0.7496413	0.88241065	0.7839751	0.84778506	0.89299905	0.9208931	0.8098754	0.92534864	0.7944119	0.8466639	0.8523181	0.896205	0.6742264	0.80748224	0.82249147	0.7904343	0.8656223	0.92051584	0.87360007	0.82138646	0.8866874	0.8377996	0.6937267	0.8163925	0.7740972	0.81275713	0.8854215	0.9119167	0.83854806	0.91732854
commissie/noun	0.8338499	0.8509701	0.8459821	0.86138755	0.96615404	0.89212406	0.85286677	0.87217927	0.88175464	0.92854834	0.92027116	0.92847556	0.78988975	0.8240833	0.9075013	0.7768782	0.75021815	0.93885493	0.8460109	0.7773742	0.9565934	0.852072	0.74682593	0.850067	0.88300276	0.8200078	0.8859998	0.8637058	0.8632279	0.8821373	0.81853896	0.832597	0.938993	0.5669948	0.0	0.8298969	0.90970784	0.92781013	0.92857516	0.9496591	0.8999334	0.9304734	0.8807904	0.96883965	0.92920715	0.91456413	0.8235707	0.9338337	0.7520317	0.8337693	0.77548516	0.7025957	0.93287224	0.9102032	0.9114351	0.9239926	0.776997	0.7544577	0.8738624	0.9182534	0.6992248	0.76546	0.8541033	0.7825854	0.88995993	0.95486677	0.8502357	0.9042703	0.8752488	0.8663788	0.76740015	0.8325996	0.7599593	0.8522886	0.8609385	0.89716625	0.89124256	0.91741234
effect/noun	0.923493	0.8381743	0.8517554	0.8834021	0.87139064	0.87018025	0.90070873	0.792465	0.8178431	0.8059714	0.89451945	0.89927	0.74042946	0.6947704	0.84376	0.881766	0.7375134	0.8385321	0.77571803	0.84332687	0.8852494	0.5474784	0.7872197	0.66824365	0.6747123	0.761986	0.7967361	0.67162323	0.64500123	0.7991523	0.84397644	0.47161424	0.9120542	0.81726706	0.8298969	0.0	0.7212963	0.88664436	0.92975396	0.9223733	0.7546332	0.902107	0.7821062	0.92504877	0.8982749	0.727313	0.7891556	0.81745595	0.82712835	0.72299564	0.6223159	0.89528495	0.78884214	0.82076573	0.834527	0.8739594	0.8272072	0.82562125	0.7065215	0.7436695	0.76403457	0.8334254	0.80957186	0.725928	0.7431987	0.83813596	0.77817607	0.8856204	0.86173457	0.86943734	0.80835783	0.74182296	0.65437436	0.7208836	0.8634376	0.8849399	0.7488214	0.81440157
min/adj	0.89694965	0.7915026	0.85790706	0.86771846	0.86055416	0.8801686	0.8620107	0.55972326	0.83180046	0.7880833	0.89146376	0.86363375	0.7789109	0.78730977	0.817101	0.89100385	0.79849815	0.85152185	0.6906632	0.82170165	0.84648556	0.7887113	0.85117674	0.75687957	0.7127762	0.5453423	0.5336569	0.7832723	0.75764304	0.8581222	0.8485955	0.766095	0.88506347	0.8652396	0.90970784	0.7212963	0.0	0.78995913	0.90534073	0.89403707	0.83190966	0.8895315	0.7966199	0.91128576	0.8348918	0.8309237	0.80675334	0.77998716	0.86314297	0.8152825	0.77300143	0.87688637	0.46059746	0.8517338	0.8038078	0.766409	0.8725874	0.8038551	0.7053015	0.8105999	0.84428865	0.84283507	0.7560326	0.7518112	0.7652823	0.81769097	0.7424127	0.8808309	0.8437498	0.82378757	0.8129518	0.8038106	0.8265416	0.4326942	0.8607249	0.8374126	0.7651759	0.7886087
heel/adj	0.8764073	0.81110734	0.8738817	0.9215506	0.8340509	0.87211406	0.91033304	0.69883215	0.8115418	0.784624	0.8718225	0.8274632	0.72495055	0.92276716	0.9039141	0.8905608	0.8941215	0.8770853	0.7627178	0.89791167	0.82847697	0.86629087	0.8157759	0.8523232	0.83094406	0.7441442	0.69862354	0.7901245	0.80254817	0.8851464	0.7413533	0.8994088	0.8881179	0.91296595	0.92781013	0.88664436	0.78995913	0.0	0.89617026	0.8562819	0.87682796	0.9106375	0.893083	0.86357874	0.90555274	0.82314825	0.8571242	0.8199439	0.9041486	0.9193938	0.7981417	0.9246294	0.70476747	0.83774054	0.81659305	0.84568083	0.9115348	0.8785458	0.8310701	0.837898	0.8835091	0.8786091	0.8957657	0.8502172	0.79162794	0.78304243	0.7884731	0.8522044	0.80869144	0.8316747	0.8381375	0.90498453	0.84491664	0.69852257	0.8595202	0.84939325	0.80955386	0.8423519
Haring/name	0.90515715	0.903756	0.8980615	0.9585991	0.8857043	0.91646576	0.8827186	0.86828166	0.883039	0.89625204	0.9404783	0.8860986	0.8758238	0.9668801	0.93402296	0.9623317	0.94730914	0.9294801	0.8721976	0.9298016	0.89036894	0.9170848	0.906021	0.9196617	0.87136436	0.89574736	0.8815931	0.88173455	0.88861483	0.9050261	0.8913168	0.94721884	0.9633675	0.94206893	0.92857516	0.92975396	0.90534073	0.89617026	0.0	0.9250839	0.90558875	0.9359839	0.94434094	0.93465966	0.9625145	0.93479526	0.96888417	0.95299053	0.9658936	0.9532627	0.8958301	0.948062	0.90136796	0.85550267	0.9043595	0.92799354	0.9402086	0.91733617	0.920686	0.93146527	0.92450625	0.9203273	0.93766165	0.8862054	0.89710236	0.8425524	0.89525855	0.89453554	0.8843412	0.86417353	0.8965283	0.9404491	0.9106506	0.89222884	0.9096515	0.88272125	0.8416927	0.87484187
weg/noun	0.9272333	0.8663746	0.9296497	0.9407971	0.74780214	0.8808929	0.9633776	0.90575796	0.9036847	0.76958406	0.9202852	0.8199957	0.8629644	0.9255918	0.90920484	0.88942546	0.92429113	0.92326707	0.9178593	0.9435977	0.9131155	0.9236049	0.9273098	0.892264	0.9004197	0.9076195	0.8617375	0.87761784	0.8941045	0.9341272	0.7944552	0.90657324	0.89751416	0.93862444	0.9496591	0.9223733	0.89403707	0.8562819	0.9250839	0.0	0.895639	0.92582524	0.90111125	0.8584974	0.9528251	0.89395714	0.8779495	0.901679	0.9057499	0.92979074	0.902494	0.90657514	0.8908328	0.91980183	0.8950687	0.94360685	0.92122966	0.9443315	0.88841045	0.8902519	0.92248607	0.88921714	0.82833445	0.8814187	0.90417933	0.9253925	0.92065907	0.9458198	0.85707736	0.87541234	0.914835	0.90393174	0.8915548	0.89588565	0.9037533	0.9170942	0.80136263	0.91277546
bestanddeel/noun	0.9301293	0.8247317	0.8703266	0.92664915	0.76015425	0.91083044	0.8987486	0.846067	0.85254866	0.85352767	0.92886627	0.8469575	0.7927567	0.89228445	0.90014464	0.9150348	0.82733744	0.9089297	0.82916164	0.8983273	0.7713321	0.80334973	0.74387765	0.8565271	0.64504826	0.84864503	0.84644616	0.8177337	0.82463884	0.8856834	0.8243711	0.86528504	0.9384445	0.920449	0.8999334	0.7546332	0.83190966	0.87682796	0.90558875	0.895639	0.0	0.93076515	0.89651096	0.869977	0.941164	0.8849018	0.8923827	0.8979792	0.87233245	0.8995206	0.82472825	0.92061853	0.8773326	0.8489674	0.8599664	0.896372	0.82140714	0.88178885	0.83535075	0.82707065	0.81599534	0.8955066	0.82523537	0.7407994	0.8504763	0.8323266	0.8591877	0.893512	0.84643203	0.86718506	0.86044097	0.88733685	0.74582237	0.8158854	0.8640355	0.8245772	0.72266674	0.82520497
ontnuchtering/noun	0.90095466	0.918082	0.8644242	0.9031241	0.9218161	0.9157324	0.95789164	0.8902309	0.89689934	0.9372274	0.92179	0.92180556	0.85481864	0.92322147	0.90864	0.9032075	0.9091778	0.9154547	0.90395385	0.8975837	0.9163067	0.9033202	0.9405965	0.8816139	0.9220389	0.8937	0.8888911	0.88092047	0.86983985	0.9112532	0.8894261	0.8992266	0.9059541	0.93581295	0.9304734	0.902107	0.8895315	0.9106375	0.9359839	0.92582524	0.93076515	0.0	0.89873904	0.9187071	0.8648617	0.85251397	0.89765656	0.8987979	0.9318809	0.91616815	0.90562814	0.93483335	0.90308714	0.92435366	0.91451275	0.9189134	0.95378023	0.8906118	0.8738453	0.9126285	0.9204453	0.91984534	0.9492396	0.93699986	0.8751035	0.9433283	0.8773015	0.93523467	0.9182484	0.9249265	0.910115	0.92696327	0.9379388	0.90097725	0.9354917	0.9019786	0.899093	0.89509237
concurrentie/noun	0.8996028	0.8568332	0.8866595	0.88052344	0.8929825	0.89745635	0.93075013	0.87152684	0.8893111	0.86023355	0.91714334	0.9120608	0.80313134	0.80755067	0.9093954	0.86020947	0.86248803	0.84120625	0.8648571	0.78453255	0.91783893	0.7605109	0.8917194	0.7720652	0.8602472	0.8574754	0.8209947	0.75137293	0.79840076	0.75716513	0.84595525	0.7683799	0.8608974	0.9089749	0.8807904	0.7821062	0.7966199	0.893083	0.94434094	0.90111125	0.89651096	0.89873904	0.0	0.9041763	0.8574184	0.8138832	0.8044578	0.90158355	0.80441606	0.77398	0.863902	0.81359696	0.8665664	0.88559693	0.9156821	0.91378355	0.88335896	0.85960674	0.77340597	0.83271223	0.85874605	0.73873734	0.8337155	0.7969432	0.90658206	0.9053069	0.81850255	0.9149908	0.814536	0.8935569	0.88533604	0.81452024	0.82456696	0.83393985	0.8567306	0.87881726	0.865188	0.86414593
vuur/noun	0.9297197	0.8738955	0.94967747	0.91520876	0.6459527	0.8286756	0.9328061	0.937451	0.91043425	0.85475755	0.9439492	0.7893155	0.89097023	0.9494444	0.9434047	0.91277915	0.93722427	0.88510484	0.9108087	0.88567144	0.78348005	0.92982686	0.9128166	0.92527753	0.8941613	0.94045734	0.901829	0.9159281	0.9166243	0.92465824	0.86456215	0.9263659	0.93919784	0.9624879	0.96883965	0.92504877	0.91128576	0.86357874	0.93465966	0.8584974	0.869977	0.9187071	0.9041763	0.0	0.91783124	0.84508675	0.9097272	0.93984616	0.946474	0.925558	0.94153684	0.88652116	0.92775536	0.89551914	0.9117284	0.95932204	0.9534702	0.9255241	0.88161445	0.89089394	0.92081696	0.9436617	0.93320787	0.9085351	0.9266479	0.91870093	0.94758964	0.95031273	0.89767605	0.958898	0.9005015	0.9159287	0.8996682	0.8975565	0.9189455	0.89891684	0.78827846	0.93245995
nederlaag/noun	0.92895275	0.8796349	0.9153857	0.6205155	0.9394311	0.8931216	0.9270763	0.8614325	0.87051284	0.93771756	0.87670463	0.931878	0.85652614	0.8855854	0.88182396	0.91115725	0.9110456	0.7601592	0.8854805	0.81444967	0.92782736	0.9196303	0.914642	0.8553455	0.90991473	0.8552992	0.8452741	0.9013332	0.883773	0.9360455	0.90266854	0.8418785	0.8003147	0.9499608	0.92920715	0.8982749	0.8348918	0.90555274	0.9625145	0.9528251	0.941164	0.8648617	0.8574184	0.91783124	0.0	0.78467053	0.8690239	0.8495953	0.9174052	0.84164864	0.8973742	0.84956825	0.8225841	0.94068164	0.91502315	0.86871743	0.9250634	0.8767193	0.9081148	0.8962961	0.9314795	0.9123855	0.94891304	0.9370107	0.8117446	0.9484796	0.82043374	0.91352904	0.9502482	0.93793064	0.9051828	0.90784496	0.9409391	0.83532566	0.94911546	0.9185628	0.93286985	0.8971667
schok/noun	0.8997585	0.85568345	0.8409578	0.8092159	0.84746337	0.84898627	0.92316276	0.8346615	0.8035278	0.8248076	0.8776119	0.85289407	0.77718467	0.86146307	0.8496472	0.8939034	0.8268297	0.7430289	0.79458493	0.84107155	0.89815885	0.7919227	0.8850354	0.75842744	0.8274723	0.8236111	0.83046174	0.7531534	0.78096765	0.88270897	0.82138443	0.7169552	0.8799497	0.9098853	0.91456413	0.727313	0.8309237	0.82314825	0.93479526	0.89395714	0.8849018	0.85251397	0.8138832	0.84508675	0.78467053	0.0	0.82810104	0.82938516	0.89545983	0.8514266	0.8031006	0.8803075	0.83659095	0.87052	0.8714172	0.89641845	0.8937926	0.84468323	0.77377176	0.7723722	0.85733646	0.8840848	0.91362906	0.84049267	0.79400337	0.8600242	0.8028367	0.89417076	0.8695658	0.9004752	0.8475497	0.8444855	0.8559257	0.82711613	0.87383056	0.8375224	0.812955	0.823057
sanering/noun	0.8249158	0.84513915	0.8308293	0.8259608	0.8553072	0.8245958	0.9165924	0.85550207	0.8169266	0.8405644	0.8693391	0.85918707	0.8109306	0.6355624	0.8896821	0.6939019	0.75774944	0.8645761	0.88128424	0.8763774	0.9270681	0.86383426	0.83395183	0.69044316	0.8823627	0.8224582	0.8517618	0.83060944	0.7512294	0.8735092	0.8023045	0.7338485	0.90146226	0.8193395	0.8235707	0.7891556	0.80675334	0.8571242	0.96888417	0.8779495	0.8923827	0.89765656	0.8044578	0.9097272	0.8690239	0.82810104	0.0	0.8384411	0.77196133	0.7412106	0.79246473	0.85576284	0.85236764	0.9136647	0.91109234	0.9221889	0.846661	0.8598258	0.77579796	0.8827301	0.80171776	0.7258624	0.81832993	0.8055399	0.86971223	0.926796	0.82932574	0.8938322	0.87582695	0.76376593	0.8710389	0.7151272	0.81620383	0.79939264	0.87024444	0.8982437	0.84154904	0.9068101
periode/noun	0.87735415	0.8767131	0.8706974	0.8790718	0.90433604	0.8766652	0.93794197	0.8152232	0.7735338	0.8574002	0.82509744	0.8884239	0.8280436	0.85170007	0.84390116	0.85743254	0.852295	0.8779267	0.84832865	0.9135754	0.9253366	0.8322103	0.8941987	0.8519107	0.86666036	0.81250614	0.84067523	0.8529451	0.77888656	0.90419346	0.84584713	0.8115882	0.8260511	0.94766176	0.9338337	0.81745595	0.77998716	0.8199439	0.95299053	0.901679	0.8979792	0.8987979	0.90158355	0.93984616	0.8495953	0.82938516	0.8384411	0.0	0.9043533	0.8213173	0.864791	0.925842	0.81235397	0.89376736	0.9332054	0.9295671	0.9094862	0.94776684	0.740175	0.8731658	0.9245726	0.8925475	0.9041158	0.8974128	0.84227693	0.877641	0.8972234	0.89937806	0.92424816	0.86264986	0.9208043	0.8701617	0.8992833	0.78271055	0.86265945	0.8804031	0.86313474	0.8689134
verplichting/noun	0.84406734	0.8099164	0.86996174	0.94456106	0.93451285	0.8695345	0.9107334	0.8843498	0.8693688	0.8953418	0.9230874	0.8973261	0.734558	0.7365657	0.91708475	0.7634184	0.7608337	0.9159641	0.8995136	0.84090054	0.9285402	0.81117535	0.85683393	0.8027749	0.84217846	0.85081524	0.8825712	0.82306707	0.84696364	0.8188202	0.8268018	0.8024993	0.9304619	0.7496413	0.7520317	0.82712835	0.86314297	0.9041486	0.9658936	0.9057499	0.87233245	0.9318809	0.80441606	0.946474	0.9174052	0.89545983	0.77196133	0.9043533	0.0	0.7717023	0.8101293	0.87543344	0.92696506	0.88820267	0.85211706	0.92953354	0.7516777	0.8341964	0.8333458	0.8570348	0.7593744	0.7630272	0.83789605	0.7369063	0.9024281	0.92466927	0.8241299	0.8448812	0.82667935	0.848279	0.8273532	0.70854205	0.8079454	0.8727784	0.89216137	0.83225375	0.81507	0.8632048
begrotingstekort/noun	0.922757	0.8803972	0.8839	0.8555355	0.9139764	0.8942733	0.9200856	0.9109341	0.839481	0.93253106	0.9007272	0.92715394	0.76465297	0.6110399	0.8849028	0.8270589	0.8424074	0.8769491	0.89980584	0.8520087	0.94441825	0.8001987	0.88096964	0.7630797	0.87082887	0.8611601	0.85774493	0.8074094	0.7974796	0.87969434	0.8637633	0.7514138	0.87731534	0.88241065	0.8337693	0.72299564	0.8152825	0.9193938	0.9532627	0.92979074	0.8995206	0.91616815	0.77398	0.925558	0.84164864	0.8514266	0.7412106	0.8213173	0.7717023	0.0	0.8290773	0.83936423	0.92007124	0.91650456	0.924181	0.9322291	0.9172276	0.83959186	0.8064968	0.88702625	0.8755153	0.8306377	0.90651816	0.83543164	0.90698814	0.94326407	0.80884475	0.95152235	0.91437733	0.9146369	0.89308214	0.71028256	0.8453804	0.86892927	0.9171398	0.8917756	0.9003832	0.87708366
uitwerking/noun	0.8288269	0.8145592	0.8156063	0.8887031	0.91605264	0.8327199	0.859902	0.71464515	0.7836738	0.8365207	0.9050779	0.8842969	0.72863865	0.8025114	0.83873785	0.77032053	0.77531517	0.8623127	0.7827824	0.8136962	0.9133537	0.7169584	0.73845625	0.74138486	0.71680194	0.71797097	0.7833974	0.6785549	0.6926571	0.81022036	0.77072096	0.6991749	0.89994264	0.7839751	0.77548516	0.6223159	0.77300143	0.7981417	0.8958301	0.902494	0.82472825	0.90562814	0.863902	0.94153684	0.8973742	0.8031006	0.79246473	0.864791	0.8101293	0.8290773	0.0	0.8471363	0.75439566	0.8120158	0.8105056	0.8635126	0.8188276	0.838344	0.75972104	0.7663684	0.79333687	0.7350946	0.8204515	0.69156444	0.7132192	0.78778595	0.77708685	0.8559199	0.81283134	0.78140146	0.7591992	0.8013499	0.68726385	0.68424916	0.84015065	0.839422	0.8069313	0.7739082
oppositie/noun	0.85297644	0.838595	0.83515835	0.7465537	0.9338007	0.718894	0.8679226	0.8734365	0.89442116	0.9098496	0.93303263	0.91948825	0.8047656	0.8156851	0.8762269	0.7657505	0.86130875	0.89504385	0.8748163	0.6428531	0.92680657	0.83706343	0.83165014	0.83463496	0.8940875	0.8285131	0.8604581	0.8384824	0.8681052	0.9041913	0.8225243	0.87668073	0.9125112	0.84778506	0.7025957	0.89528495	0.87688637	0.9246294	0.948062	0.90657514	0.92061853	0.93483335	0.81359696	0.88652116	0.84956825	0.8803075	0.85576284	0.925842	0.87543344	0.83936423	0.8471363	0.0	0.87875855	0.9010755	0.8539711	0.91173565	0.863348	0.77413154	0.8247618	0.815539	0.9003606	0.7964246	0.80446756	0.8800682	0.87845385	0.93358207	0.8525804	0.93627495	0.8707628	0.9187586	0.7539586	0.8434435	0.87380373	0.8331522	0.8950434	0.81152856	0.8891222	0.8747815
erg/adj	0.888332	0.816688	0.8653897	0.88464355	0.88553065	0.8919648	0.85620785	0.39763302	0.8536138	0.78857255	0.89149916	0.8603362	0.79390866	0.90714073	0.84855	0.89750296	0.843218	0.855417	0.6119269	0.83897316	0.8674802	0.8689492	0.87783647	0.83989865	0.7391811	0.46662456	0.4295612	0.8172858	0.78774524	0.8824222	0.86565447	0.81311005	0.8755196	0.89299905	0.93287224	0.78884214	0.46059746	0.70476747	0.90136796	0.8908328	0.8773326	0.90308714	0.8665664	0.92775536	0.8225841	0.83659095	0.85236764	0.81235397	0.92696506	0.92007124	0.75439566	0.87875855	0.0	0.8791295	0.79883516	0.7032789	0.90433186	0.7884393	0.7609285	0.8376346	0.9149104	0.8725156	0.8051864	0.8158881	0.73242015	0.78651845	0.72194505	0.88139766	0.9071858	0.831209	0.78906506	0.87389207	0.85496294	0.26277906	0.88594514	0.8808242	0.8102851	0.78369445
reflecteer/verb	0.8986954	0.8407105	0.8131322	0.9089545	0.8397166	0.908903	0.8756572	0.80962557	0.82500476	0.8426529	0.93072903	0.8329501	0.75740814	0.91359985	0.88261694	0.92136776	0.90547603	0.8993223	0.8181133	0.8580847	0.88190156	0.75553846	0.86236024	0.7955501	0.7674883	0.8287611	0.862344	0.7719697	0.760703	0.8411225	0.8159609	0.84607035	0.93677855	0.9208931	0.9102032	0.82076573	0.8517338	0.83774054	0.85550267	0.91980183	0.8489674	0.92435366	0.88559693	0.89551914	0.94068164	0.87052	0.9136647	0.89376736	0.88820267	0.91650456	0.8120158	0.9010755	0.8791295	0.0	0.85448813	0.9176852	0.87070465	0.88936734	0.80968165	0.83845156	0.8853358	0.8924123	0.88121396	0.8207814	0.84833896	0.804361	0.87019783	0.89214826	0.79058564	0.8750746	0.8437814	0.8943977	0.86259013	0.81228876	0.8628317	0.81344265	0.7802689	0.7395313
boodschap/noun	0.8384118	0.7987238	0.8379476	0.9128804	0.9015511	0.8375002	0.9136474	0.8203849	0.8498291	0.8581581	0.9535465	0.8668018	0.7774768	0.914964	0.8583577	0.90622044	0.88223755	0.8640806	0.79429096	0.79603976	0.8494121	0.8370421	0.8830216	0.8365666	0.79772466	0.81194913	0.7423502	0.7829281	0.8087104	0.8627585	0.8495804	0.90094584	0.92991537	0.8098754	0.9114351	0.834527	0.8038078	0.81659305	0.9043595	0.8950687	0.8599664	0.91451275	0.9156821	0.9117284	0.91502315	0.8714172	0.91109234	0.9332054	0.85211706	0.924181	0.8105056	0.8539711	0.79883516	0.85448813	0.0	0.86617184	0.8570542	0.81996924	0.8356463	0.8194623	0.9008993	0.89961606	0.83730435	0.8257079	0.8138561	0.7658864	0.81040776	0.81652915	0.8455893	0.8540771	0.729362	0.8910191	0.8745147	0.783045	0.9049646	0.77543926	0.74729395	0.8031339
