	om_kade_ring/noun	bijzonder/adj	commentaar/noun	hoe/adj	onnavolgbaar/adj	toneelstuk/noun	variatie/noun	min/adj	reactie/noun	behoorlijk/adj	waanzinnig/adj	combinatie/noun	film_DIM/noun	presentator/noun	Rowan/name	ook/adv	passage/noun	speel_film_debuut/noun	gesprekspartner/noun	zelfs/adv	stuk/noun	antwoord/noun	zeer/adv	anekdote/noun	onwaarschijnlijk/adj	onderdeel/noun	column/noun	gesprek/noun	obsessie/noun	buitengewoon/adj	zo/adv	oneliner/noun	aflevering/noun	typering/noun	onbedaarlijk/adj	moment/noun	script/noun	sketch/noun	vondst/noun	debuut/noun	uitval/noun	werk_DIM/noun	trailer/noun	en/vg	cynisme/noun	draai/noun	genoeg/adv	erg/adj	lied/noun	contrasteer/adj	ze/pron	arrogantie/noun	bijrol/noun	wijze/noun	variant/noun	man/noun	zelden/adj	weerzinwekkend/adj	gedicht/noun	heerlijk/adj	manier/noun	verslag/noun	opmerking/noun	performance/noun	film/noun	duivel_DIM/noun	The/name	bedoeld/adj	toch/adv	verhaal/noun	zo/adj	aankondiging/noun	echt/adj	onweerstaanbaar/adj	heel/adj	mix/noun	scène/noun	soms/adv	vooral/adv	bloes_DIM/noun	vooruitzicht/noun	mengeling/noun	nogal/adv	af/adv	ongelooflijk/adj	voorstelling/noun	gezicht/noun	Self/name	geweldig/adj	Risseeuw/name	aria/noun	even/adv	plaat/noun	rol/noun	gewoon/adj	dat/det	Hot/name	voordracht/noun	ongekend/adj	dandy/noun	lady/noun	musical/noun	heel/adv	hij/pron	kwartet/noun	even/adj	rap/noun	effect/noun	bijdrage/noun	cast/noun	portret/noun	boek/noun	vaak/adj	vers/noun	opvallend/adj	vervolg/noun	wat/pron	beeld/noun	observatie/noun	wissel_af/adj	detail/noun	veel/adj	gast/noun	beschrijving/noun	dialoog/noun	roman/noun	stoutmoedig/adj	karikatuur/noun	satire/noun	of/vg	actie_film/noun
column/noun	0.9328372	0.81480205	0.6285547	0.8452038	0.77409655	0.6657951	0.82112515	0.8815473	0.7768816	0.855489	0.8315525	0.84462106	0.7470079	0.71757317	0.89629537	0.8028128	0.65264344	0.91137177	0.82864326	0.79114014	0.7752977	0.8413278	0.8322936	0.64598227	0.84682554	0.89050025	0.0	0.772603	0.8277056	0.79793876	0.824958	0.7616985	0.680621	0.7939397	0.9096935	0.8886841	0.7474966	0.735976	0.7834543	0.7941394	0.86707324	0.8021646	0.91858906	0.7930435	0.7938996	0.8530879	0.8864252	0.872138	0.7322419	0.8927927	0.8096175	0.8225053	0.88910115	0.78765094	0.8102255	0.91973937	0.75986516	0.8303864	0.52318	0.8424436	0.824214	0.6772443	0.70519686	0.82312745	0.75655866	0.9206826	0.6647693	0.78549933	0.8669542	0.646581	0.87023234	0.7868937	0.8766253	0.8199331	0.8742691	0.8218497	0.7627921	0.7392741	0.8312074	0.9371015	0.91977304	0.7748905	0.773899	0.82078767	0.8372398	0.805224	0.87966514	0.87695724	0.84995985	0.9248298	0.81531847	0.8391323	0.796569	0.87023914	0.8800861	0.8664367	0.88377696	0.7588084	0.84441376	0.8760234	0.8401879	0.8128447	0.8583919	0.7471798	0.8244633	0.8584733	0.805959	0.90886664	0.7622616	0.83645415	0.7558576	0.5464802	0.770668	0.6829318	0.84057486	0.8087025	0.8429431	0.7913557	0.7229301	0.7920592	0.7868687	0.87705076	0.83265924	0.7252394	0.7452867	0.60424834	0.89870393	0.7814859	0.7327801	0.81674826	0.85615677
gesprek/noun	0.9011748	0.8584391	0.7262312	0.8564729	0.8589978	0.85259026	0.861987	0.89694965	0.80523705	0.8945258	0.8886452	0.8812152	0.81054044	0.77449346	0.9229875	0.8433245	0.8094935	0.93258715	0.72874427	0.8485016	0.86743385	0.82461166	0.8162943	0.78169703	0.8729201	0.91537786	0.772603	0.0	0.8682138	0.83424723	0.8459795	0.8639064	0.79602855	0.8982285	0.9173801	0.8702558	0.8471954	0.8558054	0.8499808	0.8622928	0.8611532	0.8714521	0.91178733	0.8050227	0.900678	0.88151824	0.89355135	0.888332	0.8510633	0.940544	0.87095743	0.9100505	0.9079711	0.83516705	0.8873417	0.9311208	0.82360744	0.92554754	0.8474959	0.8990933	0.85560036	0.7133093	0.7951733	0.8378296	0.8384291	0.928072	0.8797237	0.8452909	0.86990505	0.78239477	0.90345	0.7726637	0.9173491	0.8861994	0.8764073	0.86943775	0.815817	0.81608415	0.8741244	0.94801164	0.8813667	0.8829943	0.8458947	0.86485153	0.89644235	0.7860689	0.92466146	0.9260303	0.916211	0.88565767	0.86239207	0.8747519	0.8824874	0.8821439	0.9036927	0.8762276	0.8994289	0.77574897	0.907989	0.91688603	0.8824526	0.8880072	0.84714675	0.8409938	0.86797893	0.86066407	0.9059607	0.923493	0.8377044	0.87007	0.7827646	0.8459799	0.8157055	0.86007726	0.8854517	0.87514395	0.8931222	0.840176	0.7872346	0.84617126	0.7774422	0.89461577	0.80631226	0.8212785	0.66461873	0.8605032	0.9190364	0.87947005	0.8833672	0.8704633	0.88796103
obsessie/noun	0.8991981	0.8060015	0.85313386	0.79127413	0.7791397	0.8041639	0.7526377	0.83866423	0.83370715	0.8185532	0.7694887	0.7605022	0.80270815	0.8456086	0.8857414	0.82487166	0.75431025	0.8799907	0.81402576	0.75379187	0.857859	0.88150084	0.8119436	0.7564733	0.8070786	0.8658662	0.8277056	0.8682138	0.0	0.79922277	0.8041663	0.80523217	0.8500084	0.81474733	0.89213794	0.8406014	0.8102784	0.86005133	0.7816683	0.83393645	0.85427576	0.8401027	0.9193157	0.68455505	0.6947607	0.8354331	0.8498609	0.85376704	0.77076167	0.8591019	0.79771256	0.71551234	0.83572453	0.7251133	0.7718543	0.8152924	0.7714329	0.8004528	0.76391727	0.8385118	0.7614988	0.84302366	0.787077	0.80481786	0.76454633	0.87891996	0.87909746	0.7775431	0.8383565	0.69090164	0.8284399	0.8728705	0.8052267	0.76626533	0.8407354	0.78131056	0.7114331	0.6894734	0.74545	0.9221236	0.8858257	0.71135676	0.7719123	0.85391116	0.79237354	0.81359804	0.7935351	0.93887746	0.82960504	0.94879603	0.85804504	0.7879784	0.8775746	0.8099679	0.8755843	0.7977389	0.9034624	0.8052171	0.76634145	0.8263956	0.86234045	0.8425868	0.82515764	0.8034265	0.8637642	0.86739314	0.82312137	0.82341814	0.87489855	0.8392696	0.75400716	0.78165764	0.7172308	0.7937267	0.82383895	0.8331783	0.8310569	0.7376476	0.75108564	0.79702806	0.75856256	0.8242013	0.88187397	0.72785485	0.7606607	0.7240273	0.9088611	0.7824662	0.7511208	0.7632357	0.8315121
buitengewoon/adj	0.81916636	0.3100276	0.7689401	0.66809356	0.73218346	0.7998507	0.74107563	0.5453423	0.7571372	0.6114149	0.6887042	0.67033094	0.7747138	0.8024046	0.885127	0.710384	0.68447816	0.8434616	0.7753718	0.7197012	0.7305888	0.79782397	0.38860053	0.72362566	0.68393314	0.8268808	0.79793876	0.83424723	0.79922277	0.0	0.5862476	0.78696644	0.8575685	0.7797543	0.8999224	0.774644	0.7790797	0.79636365	0.7107246	0.74499124	0.79431486	0.77798545	0.92749214	0.6673415	0.76667464	0.7804799	0.60298824	0.46662456	0.788394	0.83172226	0.8053229	0.79828095	0.8232692	0.5936865	0.7270152	0.83525383	0.6826331	0.79416674	0.7912243	0.7775564	0.6289577	0.75384396	0.7192807	0.76319295	0.71897817	0.9129028	0.8926749	0.71541613	0.6987908	0.6881935	0.61857665	0.8027856	0.72537446	0.7174419	0.7441442	0.6929052	0.70458007	0.58737135	0.6218423	0.93539864	0.76560944	0.69196016	0.58509624	0.8091166	0.56759787	0.7351745	0.7927455	0.93354	0.71380514	0.87207025	0.8055159	0.54125273	0.7934951	0.81110334	0.81460303	0.7593927	0.898419	0.76498497	0.67616737	0.84353435	0.83239025	0.8028574	0.48891735	0.79808843	0.78505504	0.7723479	0.7929315	0.761986	0.7432444	0.75753784	0.71883726	0.7560423	0.66636646	0.79224306	0.69178104	0.7570794	0.8317009	0.71444154	0.6934376	0.7136734	0.719741	0.6771574	0.809903	0.69431907	0.6993251	0.7405671	0.8904657	0.78637284	0.7144921	0.79521495	0.7632716
zo/adv	0.8665565	0.5854292	0.7919434	0.46042025	0.7652489	0.83879787	0.7711048	0.5336569	0.74937534	0.6430048	0.72562885	0.72331876	0.7514896	0.7992548	0.8988794	0.6834709	0.7122759	0.88816047	0.76363885	0.6785443	0.699667	0.7437047	0.49208224	0.740546	0.7373276	0.88531935	0.824958	0.8459795	0.8041663	0.5862476	0.0	0.7640827	0.8649642	0.78439695	0.86555487	0.75921226	0.7794314	0.82050407	0.75699466	0.82032764	0.8236485	0.77894866	0.8966131	0.7344121	0.75783163	0.7726861	0.49374473	0.4295612	0.80801713	0.843145	0.6066388	0.78895116	0.8545769	0.6082152	0.74019784	0.8140794	0.68436515	0.8383435	0.78195906	0.7470699	0.55746	0.82817113	0.72874564	0.8215629	0.7569037	0.9137529	0.8999285	0.80485284	0.5625212	0.68930745	0.40209943	0.8431718	0.6267228	0.7737137	0.69862354	0.746949	0.70168924	0.5204554	0.74476916	0.8494011	0.8054193	0.7699962	0.5744272	0.74261326	0.5906382	0.7692739	0.7193429	0.91030586	0.7636452	0.8729807	0.807044	0.5296818	0.76997435	0.8823779	0.67827344	0.62415373	0.90156597	0.8401795	0.7832501	0.8649082	0.8388742	0.84402305	0.41658944	0.6680098	0.82229906	0.6284292	0.788137	0.7967361	0.8697605	0.8044615	0.78861713	0.7941892	0.64533573	0.75850195	0.75532526	0.80641615	0.6796308	0.69519216	0.72599864	0.7468933	0.7223054	0.60483503	0.80054474	0.74415123	0.7280462	0.7914809	0.9129311	0.7859502	0.75472456	0.81009185	0.7829611
oneliner/noun	0.9023326	0.77642494	0.7403165	0.83320427	0.7405524	0.7714642	0.7662095	0.8074741	0.82509065	0.80609345	0.7531203	0.7729789	0.7460656	0.7667483	0.88394564	0.81559646	0.72090334	0.882311	0.8178059	0.78021145	0.78806156	0.81226254	0.79155034	0.64312357	0.77669716	0.85874265	0.7616985	0.8639064	0.80523217	0.78696644	0.7640827	0.0	0.8095586	0.7373223	0.8752875	0.8447051	0.7648359	0.6932986	0.7664066	0.80742645	0.845445	0.81042403	0.90254897	0.7636236	0.73508894	0.8061221	0.7864851	0.7937379	0.7499173	0.8366538	0.79718745	0.8136887	0.7928171	0.7762909	0.76984423	0.8688208	0.7321247	0.8132615	0.72272986	0.77498794	0.7942103	0.86527026	0.68906415	0.8074664	0.72266006	0.93847513	0.8427011	0.7748546	0.79664785	0.6962662	0.8300641	0.8654305	0.81098616	0.7633748	0.8339032	0.7624771	0.6917808	0.6800386	0.7972727	0.8888911	0.8873125	0.7623538	0.7263018	0.7638154	0.7677671	0.7790673	0.78923965	0.92149794	0.7794911	0.9139529	0.8166186	0.71153796	0.7839707	0.83897406	0.8323884	0.81904316	0.89727294	0.8347171	0.8182682	0.8851422	0.86392117	0.7974494	0.78554046	0.77332115	0.83780545	0.7944317	0.78137076	0.8550515	0.88068247	0.8072886	0.768285	0.75783867	0.74242365	0.71255887	0.7918315	0.82014436	0.8553521	0.73950356	0.7155198	0.7559514	0.77825326	0.8289326	0.82504094	0.7319153	0.6865321	0.74155146	0.89686644	0.7414588	0.70311785	0.81716585	0.71638983
aflevering/noun	0.92654836	0.8340004	0.813841	0.843634	0.7889316	0.6818433	0.80607337	0.8890152	0.90412664	0.8694642	0.818369	0.85037655	0.6151074	0.67912436	0.8703163	0.8435406	0.75040853	0.86803555	0.88880575	0.8547168	0.795411	0.87054014	0.87685984	0.73670876	0.83028847	0.86768407	0.680621	0.79602855	0.8500084	0.8575685	0.8649642	0.8095586	0.0	0.89248085	0.9247873	0.86426103	0.7642794	0.7182816	0.7901603	0.74872947	0.9115625	0.79293096	0.82707703	0.84354424	0.89608926	0.86986274	0.8975594	0.88590837	0.75951165	0.8837585	0.86056954	0.92347515	0.83426565	0.8319588	0.813162	0.92634	0.7962557	0.87282956	0.7119583	0.8560481	0.8552782	0.7557361	0.87414515	0.8035775	0.5731469	0.9209638	0.68105626	0.81271046	0.8840341	0.6951565	0.9001126	0.8467493	0.860173	0.84106064	0.85474914	0.7823656	0.6806866	0.8207734	0.8638606	0.92769814	0.9009733	0.8212428	0.84844375	0.85111415	0.87633866	0.68094385	0.88388854	0.88788825	0.861709	0.9563484	0.81200486	0.8205837	0.738847	0.89070356	0.87972766	0.91055954	0.848225	0.81503844	0.8654071	0.93006057	0.869442	0.69501126	0.87487316	0.8572315	0.7926024	0.8550577	0.84419024	0.9017835	0.8487507	0.75443846	0.7403815	0.64727986	0.82479393	0.79838336	0.8552363	0.7640983	0.8878939	0.7458019	0.8180813	0.76497495	0.8062544	0.8941884	0.7895826	0.80404574	0.806794	0.6637483	0.916401	0.84251493	0.7624918	0.861127	0.7489945
typering/noun	0.913754	0.7698479	0.80479574	0.80595446	0.776706	0.81114304	0.79715264	0.83108157	0.8466226	0.8319808	0.81767243	0.7802783	0.8220428	0.8496938	0.91040266	0.7997745	0.75433624	0.8913214	0.8371372	0.82073003	0.8176052	0.8025993	0.78949034	0.71199024	0.82810754	0.9055444	0.7939397	0.8982285	0.81474733	0.7797543	0.78439695	0.7373223	0.89248085	0.0	0.879485	0.86293304	0.8086556	0.80397546	0.79055154	0.8481266	0.8638286	0.82152885	0.9337175	0.77818626	0.80882645	0.8263034	0.83238184	0.8036348	0.79426455	0.8144312	0.8277906	0.8182211	0.86390704	0.7711045	0.7870526	0.88128155	0.77597016	0.82942325	0.7469666	0.7917534	0.7986534	0.87369454	0.7591045	0.8414668	0.8046398	0.94657063	0.8878744	0.8170664	0.81302226	0.72036904	0.82631356	0.89792037	0.8365684	0.818291	0.83455163	0.79072857	0.7450009	0.71744597	0.7938463	0.90806794	0.9156185	0.77339876	0.76113105	0.8022077	0.7983789	0.8095629	0.8166181	0.89449877	0.8157098	0.9366357	0.828892	0.76406825	0.8488393	0.8935361	0.86981815	0.80254406	0.9132538	0.85390294	0.85034764	0.860077	0.87792015	0.8566468	0.78438216	0.81571895	0.855947	0.82904243	0.8235546	0.88047856	0.88769895	0.8355708	0.759639	0.79633135	0.7669114	0.7587537	0.8116832	0.87083596	0.8390095	0.7456695	0.7350088	0.8140928	0.773302	0.839454	0.85327595	0.71962845	0.7415465	0.7751709	0.9217257	0.76066726	0.7636665	0.8286548	0.84914756
onbedaarlijk/adj	0.9600154	0.8765874	0.90848315	0.8999622	0.8689557	0.89732975	0.8702929	0.89721024	0.90158254	0.87010366	0.8407113	0.8889347	0.89328325	0.8716225	0.9327345	0.8875154	0.89894193	0.95522	0.90927225	0.83686924	0.904717	0.9387607	0.9021474	0.83509547	0.89968085	0.96226186	0.9096935	0.9173801	0.89213794	0.8999224	0.86555487	0.8752875	0.9247873	0.879485	0.0	0.8882031	0.8722854	0.84958774	0.89493155	0.9028497	0.910234	0.91358745	0.9580257	0.83781904	0.8628926	0.9085664	0.89763755	0.8521468	0.8742317	0.921584	0.82102007	0.9003718	0.9085473	0.8931293	0.8954833	0.86715895	0.8400357	0.8811632	0.8910698	0.8256446	0.9019904	0.9264676	0.8971382	0.89552474	0.8931931	0.93222666	0.9099396	0.8606614	0.8588266	0.8536195	0.8531465	0.9088593	0.84152794	0.7856472	0.86997116	0.8709168	0.83701384	0.7558225	0.8651215	0.9264523	0.9384686	0.86195755	0.8340139	0.78371584	0.8138314	0.86062014	0.791299	0.9399717	0.8279144	0.9572748	0.8796302	0.84443825	0.9056519	0.9554179	0.8854882	0.8976354	0.93026805	0.91618735	0.8781667	0.92640436	0.92988575	0.8793018	0.85158384	0.8474326	0.9305528	0.8344252	0.8757427	0.92745245	0.9716988	0.8971948	0.9220305	0.9038091	0.8279672	0.87507886	0.89150447	0.9038636	0.9289043	0.8914523	0.878992	0.82772803	0.91257596	0.8698271	0.8861739	0.89879525	0.8888657	0.90433204	0.9412064	0.8728436	0.84668815	0.8820846	0.8825145
moment/noun	0.9160349	0.7737852	0.8932947	0.7579662	0.8662617	0.8713773	0.8545876	0.80616915	0.84571177	0.8156308	0.82352674	0.790676	0.8328475	0.8566158	0.94438016	0.8219628	0.7457313	0.9048359	0.8352821	0.7678716	0.84864545	0.84281135	0.77172065	0.8049414	0.79602194	0.89535177	0.8886841	0.8702558	0.8406014	0.774644	0.75921226	0.8447051	0.86426103	0.86293304	0.8882031	0.0	0.84985244	0.8458204	0.8151756	0.8434046	0.82718897	0.8702826	0.9184697	0.8486921	0.8373803	0.8395865	0.79798365	0.75685394	0.8165697	0.92798764	0.7617803	0.86217326	0.87749034	0.78698164	0.8707965	0.84981346	0.756161	0.8707121	0.8313904	0.8278173	0.80150634	0.86902267	0.86180425	0.880828	0.82206875	0.9222061	0.93314075	0.85774297	0.7152985	0.784338	0.77879584	0.84446746	0.7397441	0.8212717	0.83081585	0.8235601	0.7128384	0.6725825	0.8406195	0.9492149	0.8494777	0.8183844	0.79524875	0.75004405	0.7592858	0.7852986	0.8543254	0.9577035	0.810613	0.9061272	0.8234359	0.7062302	0.83092594	0.8391983	0.8374791	0.8172123	0.91581297	0.8708622	0.8054533	0.9244956	0.90823066	0.8754225	0.7329226	0.7718555	0.85720336	0.70014197	0.8809705	0.82583696	0.904722	0.8682424	0.85498965	0.8610498	0.7474028	0.83846325	0.8769773	0.82563496	0.81487566	0.796114	0.81460863	0.8039684	0.7952139	0.8146633	0.8535069	0.8066662	0.8341164	0.84668165	0.9155482	0.8806222	0.84782875	0.87287694	0.8636751
script/noun	0.86809963	0.76877034	0.82962203	0.79859626	0.7438005	0.5986866	0.72270095	0.8171033	0.8732356	0.8027297	0.7716557	0.7779448	0.680288	0.79154766	0.86886764	0.78949904	0.706029	0.835642	0.83912903	0.7939123	0.71147376	0.8067618	0.77993304	0.7453972	0.76158404	0.8462475	0.7474966	0.8471954	0.8102784	0.7790797	0.7794314	0.7648359	0.7642794	0.8086556	0.8722854	0.84985244	0.0	0.691666	0.74245536	0.7710088	0.8937063	0.7600139	0.8751686	0.76981425	0.84714293	0.8359269	0.8233987	0.79378974	0.7424482	0.858769	0.74970543	0.85164064	0.74619013	0.76439834	0.77223194	0.8828833	0.76311404	0.82361174	0.668753	0.8215575	0.78048706	0.7915906	0.81093514	0.74678934	0.58214056	0.92232585	0.70045936	0.7820684	0.81624734	0.6164353	0.8164885	0.8497512	0.793466	0.7710414	0.8190362	0.741527	0.64148843	0.71596706	0.80585456	0.9245412	0.8951904	0.7753344	0.7463786	0.8125276	0.7557078	0.67997485	0.84156203	0.88475686	0.7895225	0.93053985	0.80427784	0.76936716	0.7383189	0.84467125	0.83204275	0.8226036	0.86161864	0.8280563	0.8351937	0.8758477	0.8728863	0.63245666	0.7854456	0.7751576	0.7914076	0.82743704	0.79125583	0.8696376	0.85714763	0.66376734	0.77331066	0.6114601	0.7578905	0.7402271	0.8128114	0.7750287	0.82705915	0.7660916	0.7489466	0.76817006	0.74249685	0.80986	0.8439825	0.719064	0.70044196	0.6260205	0.9193506	0.7831849	0.74248147	0.80496114	0.7064915
sketch/noun	0.87007153	0.77461594	0.78848326	0.84740674	0.72052336	0.6308539	0.69625866	0.8610461	0.8803767	0.82619107	0.7808912	0.74718934	0.63059884	0.74515015	0.86920446	0.8349946	0.72474146	0.8482059	0.85087335	0.8182335	0.7755731	0.8587734	0.8090453	0.65709704	0.7860954	0.85119003	0.735976	0.8558054	0.86005133	0.79636365	0.82050407	0.6932986	0.7182816	0.80397546	0.84958774	0.8458204	0.691666	0.0	0.76423025	0.8034623	0.8812245	0.7818749	0.90695107	0.741176	0.8241718	0.8189899	0.85421145	0.8233681	0.6681062	0.81655145	0.8270275	0.8583791	0.79230744	0.77507603	0.7763354	0.9162769	0.75921005	0.8278458	0.6709781	0.7609409	0.7851915	0.8166818	0.79810184	0.69115615	0.61822987	0.917174	0.753198	0.75555384	0.85096425	0.6505088	0.8705777	0.8735156	0.82613957	0.7240776	0.8062085	0.69029975	0.5646408	0.6890557	0.809472	0.89106023	0.91957754	0.7260598	0.7645745	0.7863834	0.7723765	0.60642695	0.8550523	0.86323273	0.7609392	0.9494125	0.732318	0.75197643	0.74257886	0.85739034	0.83601516	0.8735146	0.83197856	0.76518905	0.8364624	0.8977086	0.84293723	0.6390611	0.8076885	0.83534324	0.771037	0.8345481	0.722049	0.84390944	0.8380735	0.7092142	0.75256974	0.75433075	0.76108384	0.7348386	0.7989296	0.8137478	0.8796998	0.738746	0.72221553	0.6870383	0.78639674	0.8745565	0.7602194	0.7324436	0.6692852	0.736586	0.9204259	0.7366843	0.6838254	0.82482904	0.73191345
vondst/noun	0.8896664	0.70823866	0.80739367	0.7600496	0.7490423	0.7604649	0.7021804	0.80578345	0.79987025	0.81474876	0.7443812	0.68045866	0.7045475	0.83333987	0.8988497	0.7703247	0.67049617	0.8732495	0.85783935	0.760188	0.7272087	0.8386085	0.7396858	0.63054514	0.72593343	0.79841137	0.7834543	0.8499808	0.7816683	0.7107246	0.75699466	0.7664066	0.7901603	0.79055154	0.89493155	0.8151756	0.74245536	0.76423025	0.0	0.7921892	0.846771	0.75750935	0.8713765	0.7066866	0.7927112	0.8071207	0.777244	0.7790318	0.76067686	0.8318379	0.77986544	0.81140226	0.8135701	0.6904073	0.72086173	0.8299616	0.748339	0.79713786	0.7108556	0.8208876	0.7476201	0.8012692	0.75737476	0.764661	0.7273629	0.92977685	0.8511251	0.7509149	0.7966904	0.6488501	0.79998696	0.7677967	0.8010516	0.7660049	0.8065456	0.73624706	0.6717039	0.68399864	0.7657679	0.9247269	0.8645095	0.73242664	0.7436364	0.8177928	0.7302881	0.7428242	0.8185059	0.93994546	0.7813477	0.9186236	0.82437485	0.71105945	0.74278927	0.85238695	0.8615623	0.7928003	0.8865251	0.8144173	0.76450914	0.8882028	0.87283087	0.8271072	0.7559216	0.80022794	0.8093101	0.8150221	0.823501	0.7523187	0.8092828	0.79304826	0.72646314	0.6808795	0.7308457	0.7396431	0.8062091	0.78950405	0.79194313	0.6772091	0.6621562	0.7615025	0.6390775	0.81507254	0.8396505	0.6733412	0.7434788	0.71076405	0.8849821	0.8097017	0.7675381	0.76561207	0.79668325
debuut/noun	0.9082297	0.71764594	0.86314636	0.84934175	0.7679877	0.67548394	0.8092218	0.8305861	0.8749087	0.79637283	0.80758107	0.7457744	0.7892698	0.8080138	0.88207567	0.8498467	0.7560725	0.74911916	0.89135253	0.8151566	0.79439974	0.88041854	0.75401986	0.78089094	0.79867476	0.8813841	0.7941394	0.8622928	0.83393645	0.74499124	0.82032764	0.80742645	0.74872947	0.8481266	0.9028497	0.8434046	0.7710088	0.8034623	0.7921892	0.0	0.865834	0.7804215	0.9244377	0.8033637	0.8528409	0.80984604	0.78442776	0.7714447	0.7417234	0.89092606	0.8859788	0.8847249	0.7107897	0.7777553	0.8020315	0.906592	0.75249135	0.8981052	0.71482015	0.8127177	0.8395188	0.8009065	0.86951995	0.778665	0.63138247	0.9044898	0.65388304	0.84454	0.796558	0.7224018	0.854674	0.84136647	0.7940593	0.76570135	0.8780173	0.71173227	0.73752284	0.7756076	0.8091383	0.939976	0.8431366	0.7652321	0.8052455	0.8431647	0.7797397	0.70891	0.870187	0.88622683	0.7823105	0.94267255	0.7867782	0.73715574	0.6771053	0.8551147	0.9200709	0.88349646	0.8197557	0.82861245	0.81690675	0.8629358	0.8189783	0.67348003	0.79060274	0.82780254	0.70483506	0.8447193	0.7830792	0.8914145	0.8430841	0.720139	0.716377	0.6635693	0.8415368	0.77908707	0.80449367	0.75846016	0.9068152	0.80848855	0.8103534	0.73157847	0.8356189	0.8611233	0.84685105	0.8104955	0.7764555	0.60195005	0.89611024	0.8196416	0.7564179	0.8870972	0.74733806
uitval/noun	0.8673862	0.8227439	0.84954023	0.8562032	0.8707882	0.9160447	0.85125417	0.7946291	0.7446345	0.7914268	0.86513746	0.81658554	0.88728106	0.86716866	0.94585085	0.8194889	0.821543	0.9345647	0.848273	0.7780132	0.89360416	0.8573225	0.7748813	0.85679024	0.8564692	0.9011228	0.86707324	0.8611532	0.85427576	0.79431486	0.8236485	0.845445	0.9115625	0.8638286	0.910234	0.82718897	0.8937063	0.8812245	0.846771	0.865834	0.0	0.86572033	0.9236544	0.773395	0.81682605	0.8291343	0.83000624	0.8082398	0.887383	0.89463127	0.8208964	0.82292426	0.9131055	0.8184188	0.8445969	0.86996007	0.8093768	0.8711695	0.89557326	0.8928633	0.837462	0.88911235	0.7491355	0.8871674	0.9088506	0.9315448	0.9574075	0.84123933	0.80844444	0.898625	0.81511825	0.81273365	0.8671837	0.8807837	0.8819499	0.871602	0.8545767	0.7627388	0.7633596	0.9305841	0.87177503	0.8719224	0.78360647	0.836545	0.84403545	0.9001989	0.88348055	0.9498792	0.88729715	0.9064322	0.8777111	0.8052149	0.89814025	0.8659921	0.8879554	0.82313246	0.9227202	0.88671595	0.79871595	0.92679775	0.91864944	0.91832274	0.8264789	0.805178	0.8336673	0.83919615	0.8956005	0.80439836	0.8482635	0.88484013	0.8853361	0.9127806	0.7465365	0.887291	0.8321571	0.83137226	0.89345706	0.8635739	0.8451202	0.84170383	0.870149	0.804562	0.8702531	0.86776066	0.8360051	0.9097929	0.9107922	0.83288753	0.85345286	0.82060033	0.89061165
werk_DIM/noun	0.8512367	0.7648072	0.8598633	0.822151	0.7966924	0.75289816	0.77525085	0.8345984	0.8988296	0.8259262	0.82220846	0.78735316	0.7013428	0.82374513	0.9256562	0.7941167	0.7340407	0.8808984	0.86230516	0.80661553	0.7287067	0.8697372	0.7721944	0.75040996	0.8215221	0.85089374	0.8021646	0.8714521	0.8401027	0.77798545	0.77894866	0.81042403	0.79293096	0.82152885	0.91358745	0.8702826	0.7600139	0.7818749	0.75750935	0.7804215	0.86572033	0.0	0.8777003	0.73350734	0.8543711	0.8276346	0.85387605	0.80787206	0.73930424	0.82926893	0.79193145	0.8755985	0.8492578	0.7601367	0.77750045	0.88061494	0.7998134	0.87332034	0.6608666	0.81914675	0.7627721	0.8250855	0.8285931	0.7735382	0.72070014	0.9050994	0.8434122	0.7971229	0.828568	0.74299836	0.85296214	0.8734997	0.8621498	0.80776703	0.8221022	0.7735349	0.73031837	0.7138796	0.80176324	0.8516054	0.91417897	0.79534596	0.77912927	0.80599403	0.7979608	0.7230338	0.8228788	0.9145363	0.8543174	0.9328498	0.7943453	0.7602506	0.7320609	0.8755175	0.8310084	0.84473026	0.8982443	0.7983712	0.83373374	0.87358236	0.86284035	0.7798735	0.7506711	0.8287586	0.8112506	0.8198359	0.8188546	0.8703928	0.80095965	0.78958434	0.6838292	0.64604783	0.76256037	0.7511674	0.8010576	0.84827936	0.8473612	0.73111314	0.7535818	0.7570159	0.7611609	0.8220173	0.831439	0.74715334	0.79248595	0.7028665	0.91274816	0.8074083	0.7914194	0.7930616	0.81017524
